OID_,Link_ID,Link_Nm,Shp_Lng,Z_Min,Z_Max,Z_Mean,SLength,Shape_Length
24,RAIL100,Westerton - Bearsden,1846.836641970000073,0.000000000000000,0.000000000000000,0.000000000000000,0.022198182031681,0.022198182031681
25,RAIL101,Bearsden - Hillfoot,808.003086647000032,0.000000000000000,0.000000000000000,0.000000000000000,0.012113153720174,0.012113153720174
26,RAIL102,Hillfoot - Milngavie,2614.506811889999881,0.000000000000000,0.000000000000000,0.000000000000000,0.027426360337178,0.027426360337178
27,RAIL104,Dalmarnock - Bridgeton,943.801627103999976,0.000000000000000,0.000000000000000,0.000000000000000,0.011134687735282,0.011134687735282
28,RAIL105,Bridgeton - Argyle Street,1857.697203209999998,0.000000000000000,0.000000000000000,0.000000000000000,0.026315134497863,0.026315134497863
29,RAIL107,Glasgow Central - Anderston,827.974042556999962,0.000000000000000,0.000000000000000,0.000000000000000,0.013048286558080,0.013048286558080
30,RAIL108,Anderston - Exhibition Centre (Glasgow),835.485969606000026,0.000000000000000,0.000000000000000,0.000000000000000,0.012923465826132,0.012923465826132
31,RAIL109,Hyndland - Jordanhill,742.359531168999979,0.000000000000000,0.000000000000000,0.000000000000000,0.010813818243567,0.010813818243567
32,RAIL11,Stirling - Larbert,12971.849696499999482,0.000000000000000,0.000000000000000,0.000000000000000,0.148181618934545,0.148181618934545
33,RAIL110,Jordanhill - Scotstounhill,1818.824084110000058,0.000000000000000,0.000000000000000,0.000000000000000,0.028374327028758,0.028374327028758
34,RAIL111,Scotstounhill - Garscadden,809.005894193000017,0.000000000000000,0.000000000000000,0.000000000000000,0.012319014457462,0.012319014457462
35,RAIL112,Glasgow Central - Crossmyloof,3416.742380669999875,0.000000000000000,0.000000000000000,0.000000000000000,0.038127482256740,0.039215262692771
36,RAIL113,Crossmyloof - Pollokshaws West,1593.263957030000029,0.000000000000000,0.000000000000000,0.000000000000000,0.020306201482007,0.020306201482007
